Date,Time,Request ID,Property Name,Floor,Space,Request Type,Sub Type,Status,Priority,Crew,Date Closed,Original Message,Originated From,Asset#,Complete By,Labor Hours,Billing Type,Initial Work Complete Date,Initial Work Complete Comment
1/17/2023,9:22 AM PST,364110,Michael Williams Building,1,A130,Repair,Doors / Locks / Keys,Closed,3- Routine,Carpentry,1/18/2023 10:46 AM,Back door to Financial Services battery for key card lock not working - need replacement battery please,Self-Service,,2/28/2023 9:22 AM,0.5,GEN_MAINT,1/18/2023 10:45:00 AM,"Completed, replaced batteries"
02-07-2023,1:50 PM PST,366837,Michael Williams Building,1,B108,Repair,Doors / Locks / Keys,Closed,3- Routine,Carpentry,02-09-2023 11:04,Safe battery replacement in Financial Services MWB payroll area (B108),Self-Service,,3/21/2023 1:50 PM,0.5,GEN_MAINT,02-09-2023 11:04,Status has been changed to ''Closed''.
05-01-2023,9:31 AM PDT,374191,Michael Williams Building,1,B108,Repair,Building Exterior,Closed,1 - Urgent,Paint,7/20/2023 10:57 AM,Large Broken window ground floor MWB B107 in Financial Services,Self-Service,,05-02-2023 09:31,0,GEN_MAINT,06-08-2023 15:21,Work complete. Invoice submitted.
8/15/2023,8:35 AM PDT,384115,Michael Williams Building,1,A125,Repair,"Heating, Ventilation, Air Conditioning",Open,3- Routine,Mechanical - Buildings,,"Hi, the heating system on the first floor of the Michael Williams building is blowing very hard, and is really loud - if someone could have a look that would be great.",Self-Service,,9/26/2023 8:35 AM,13,GEN_MAINT,,
11-01-2023,11:57 AM PDT,391564,Michael Williams Building,1,B131,Repair,Doors / Locks / Keys,Closed,3- Routine,Carpentry,11-03-2023 07:34,"Hi, we had the door handle fixed this morning on the back door in Financial Services, but now the lock does not disengage when we try and use our cards to unlock.",Self-Service,,12/13/2023 11:57 AM,2.5,GEN_MAINT,11-03-2023 07:34,WORK COMPLETE.
11-02-2023,3:30 PM PDT,392446,Michael Williams Building,1,B131,Repair,Doors / Locks / Keys,Closed,3- Routine,Mechanical – Vehicles ,11-02-2023 15:58,"Parent  - Hi, we had the door handle fixed this morning on the back door in Financial Services, but now the lock does not disengage when we try and use our cards to unlock.    Lock shop 391564  - Assist as required.     Mechanical   - To assist with lock repair. ",Self-Service,,12/14/2023 3:30 PM,1,GEN_MAINT,11-02-2023 15:58,Status has been changed to ''Closed''.
11-02-2023,3:31 PM PDT,392447,Michael Williams Building,1,B131,Repair,Doors / Locks / Keys,Open,3- Routine,ADMIN,,"Parent  - Hi, we had the door handle fixed this morning on the back door in Financial Services, but now the lock does not disengage when we try and use our cards to unlock.    Lock shop 391564  - Assist as required.     Mechanical 392446  - To assist with lock repair. ",Self-Service,,12/14/2023 3:31 PM,0,GEN_MAINT,,
11-06-2023,4:17 PM PST,392649,Michael Williams Building,1,A131,Repair,Doors / Locks / Keys,Closed,3- Routine,Carpentry,11-07-2023 14:30,"Hi, unfortunately the back door is not working again - here is our request from last week. Thanks, Janice    Your Service Request ID: 391564 has been created.   Original Request: Hi, we had the door handle fixed this morning on the back door in Financial Services, but now the lock does not disengage when we try and use our cards to unlock.  Type: Repair | Doors / Locks / Keys  ",Self-Service,,12/19/2023 7:30 AM,2,GEN_MAINT,11-07-2023 14:30,work complete.
03-08-2023,2:59 PM PST,370165,Jamie Cassels Centre,2,A254A,Repair,Plumbing and Fixtures,Closed,3- Routine,Plumbing,04-03-2023 08:45,A254a - JCC  - water running in stall,Self-Service,,4/19/2023 2:59 PM,0.5,GEN_MAINT,04-03-2023 08:45,Updated
5/15/2023,2:05 PM PDT,376191,Jamie Cassels Centre,2,A203E,Repair,"Heating, Ventilation, Air Conditioning",Assigned To Tech,3- Routine,Mechanical - Buildings,,leaking air conditioning unit in A203E - Jamie Cassels Centre,Self-Service,,6/26/2023 2:05 PM,1.5,GEN_MAINT,5/30/2023 9:39:00 AM,Check for leak found condensate float stuck test ok.
8/17/2023,1:52 PM PDT,384344,Jamie Cassels Centre,2, General,Repair,Plumbing and Fixtures,Closed,3- Routine,Plumbing,8/17/2023 3:24 PM,plugged sink in Lounge (next to elevator)   please do not charge our FAST acct as this is a shared space,Self-Service,,9/28/2023 1:52 PM,1,GEN_MAINT,8/17/2023 3:24:00 PM,Updated
10/25/2023,10:24 AM PDT,391010,Jamie Cassels Centre,2,A203,Repair,"Heating, Ventilation, Air Conditioning",Work Complete,3- Routine,Mechanical - Buildings,,can the office temperature be a bit lower for A203 and A205.  The suite has been too warm.  If someone can call me at 250-721-8459,Self-Service,,12-06-2023 10:24,5,GEN_MAINT,12-07-2023 15:46,Work Completed
1/19/2023,3:56 PM PST,364399,MacLaurin Building,2,A225,Repair,Building Exterior,Open,3- Routine,Paint,,"Hello,  We just noticed a crack in one of our windows.  It is about 8 inches long right now and starts at the bottom of the window, but looks like it could travel up the entire height of the window.  The window is approximately 15 inches wide by 54 inches tall.  Please could someone come over and check it out?  Thanks so much!    Janet Powers  Advising Assistant  MAC A225",Self-Service,,03-02-2023 15:56,0,GEN_MAINT,,
1/27/2023,12:01 PM PST,365085,MacLaurin Building,2,A221,Repair,Electrical,Closed,3- Routine,Electrical,1/30/2023 8:47 AM,"Hello Dear Facilities!  Please would you send someone to check a wall plug-in in the office of one of our Advisers? The office Mac computer for the Adviser is plugged into a wall socket and the socket is coming away from the wall. When trying to start the computer this morning, the Adviser told me it would not start up until the wall socket was wiggled around a bit. Please would you help with a repair to re-attach that socket so we don't blow anything up?  Thanks so much!    PLEASE NOTE: The office where repair is needed is A221, for Adviser Jane Drengson, and this office is alarmed, so if the repair person unlocks door and goes in there when we are not here, it will trigger alarm (alarm pad is in A225) and Security will come running. We want to spare our dear repair person the frisking and tasering.     ",Self-Service,,03-10-2023 12:01,1,GEN_MAINT,1/30/2023 8:46:00 AM,done
02-09-2023,2:19 PM PST,367044,MacLaurin Building,2,A231,Repair,Plumbing and Fixtures,Closed,3- Routine,Plumbing,02-10-2023 08:39,Hello Facilities!  Please would you sent a plucky plumber to fix the taps on our Women's washroom sink as follows:  Hot water tap - is dripping after people turn it off.  Cold water tap - seems to turn itself off if someone only turns it on a bit and not on full.  Spout - needs tightening as the nozzle sprays the front of our shirts.   ,Self-Service,,3/23/2023 2:19 PM,1,GEN_MAINT,02-10-2023 08:39,Work Completed
2/24/2023,5:17 PM PST,368268,MacLaurin Building,2,A231,Repair,Lighting,Closed,2 - High,Electrical - Lighting,2/27/2023 12:02 PM,"Hello Dear Facilities,  Please send someone to replace the fluorescent bulb in the washroom, as the current bulb is getting very dim and could blow out at any time. If that happens we cannot use the washroom as there are no windows and no other source of light. I lost my Bic lighter and my light sabre is in for repair.  Thanks so much for your kind help!!  Janet Powers  Advising Assistant  Education Advising  MAC A225  ",Self-Service,,03-01-2023 07:30,1,GEN_MAINT,2/27/2023 12:02:00 PM,Updated
01-03-2023,9:20 AM PST,362198,Student Union Building,_General,_General,Repair,Grounds Improvements,Closed,3- Routine,Landscape and Turf,01-04-2023 07:01,Please put in a work order to have the storm drain cleaned out outside in the courtyard closest to the stage. Thank you.,Self-Service,,2/14/2023 9:20 AM,0.5,UVSS_GSS,01-04-2023 06:48,Cleared drain so water can flow.
01-03-2023,10:48 AM PST,362225,Student Union Building,1,A129,Repair,Electrical,Closed,1 - Urgent,Mechanical - Refrigeration,01-12-2023 07:43,URGENT  -   Please put in a work order for the display cooler in Bean There. It is not working whatsoever. Thank you.,Self-Service,,01-04-2023 10:48,5.5,UVSS_GSS,01-12-2023 07:43,Updated
01-04-2023,11:28 AM PST,362350,Student Union Building,_General,_General,Repair,Grounds Improvements,Closed,3- Routine,Landscape and Turf,01-11-2023 09:30,"Please put in a work order to have the front entry of the SUB that is closest to the info booth power washed early morning of Wed 11th. The day before, we have the pancake breakfast and there is often a mess just to the left of the front doors.    ",Self-Service,,2/15/2023 11:28 AM,2.5,UVSS_GSS,01-11-2023 09:30,all clean
01-06-2023,1:02 PM PST,362511,Student Union Building,1,A131,Repair,Equipment,Closed,3- Routine,Mechanical - Refrigeration,01-12-2023 07:43,Please put in work order for the beer fridges behind the bar that is warm. Looks like the closest one to the liquor shelf. It’s not the one that was fixed like a month ago. Thank you.,Self-Service,,2/17/2023 1:02 PM,1.5,UVSS_GSS,01-12-2023 07:43,Updated
01-10-2023,10:03 AM PST,362704,Student Union Building,1,A115,Repair,Plumbing and Fixtures,Closed,1 - Urgent,Plumbing,01-10-2023 11:45,URGENT   -   Please put in an urgent work request for a sink leak in the HFB A115. Thank-you.,Self-Service,,01-11-2023 10:03,1,UVSS_GSS,01-10-2023 11:45,Updated
01-12-2023,9:20 AM PST,362939,Student Union Building,1,B142,Repair,Other,Closed,3- Routine,Carpentry,3/14/2023 2:16 PM,"Please put in a work order to have addressed. The exterior door in the Dental Office needs some work done, the weather stripping has fallen off for the top half of the door and it’s not latching nicely as the door has warped and the astragal is catching to early at the top. Thank you.",Self-Service,,2/23/2023 9:20 AM,0,UVSS_GSS,3/14/2023 2:16:00 PM,Status has been changed to ''Closed''.
01-12-2023,10:17 AM PST,362981,Student Union Building,1,B134,Repair,Paint / Flooring / Surfaces,Closed,3- Routine,Paint,1/30/2023 8:02 AM,The tenant will be moving out before the weekend and will be removing some of the hair salon related equipment and fixtures so we expect things to be a bit of a mess.  Especially from the view from the seating area inside I would like the interior windows covered ideally Monday morning first thing.  I assume the paint shop would likely be the ones doing this and have rolls of paper but I am fine with reusing newspaper or anything else they feel will work. ,Self-Service,,2/23/2023 10:17 AM,2.5,AGENCIES,1/16/2023 3:06:00 PM,Work Completed
1/16/2023,9:01 AM PST,363945,Student Union Building,1,B134,Repair,Plumbing and Fixtures,Closed,3- Routine,Plumbing,1/16/2023 1:39 PM,"Please put in a work order for plumbing to disconnect the washer and dryer in B134 at their earliest convenience.    Thank you,  Dale Robertson    ",Self-Service,,2/27/2023 9:01 AM,1,AGENCIES,1/16/2023 1:39:00 PM,Updated
1/16/2023,1:37 PM PST,364024,Student Union Building,1,A131,Repair,Plumbing and Fixtures,Closed,3- Routine,Plumbing,1/17/2023 10:56 AM,The glasswasher in Felicitas is not putting out any hot water.  It should start with hot water and finish with cold water. Please put in a work order for someone to look at the hot water valve/line that goes into the glasswasher  ,Self-Service,EQU006841,2/27/2023 1:37 PM,2,UVSS_GSS,1/17/2023 10:56:00 AM,Updated
1/16/2023,2:13 PM PST,364031,Student Union Building,1,A131,Repair,Plumbing and Fixtures,Closed,3- Routine,Electrical,1/17/2023 10:16 AM,Felicitas Glasswasher    Parent     Plumbing 364024  The glasswasher in Felicitas is not putting out any hot water.  It should start with hot water and finish with cold water. Please put in a work order for someone to look at the hot water valve/line that goes into the glasswasher     Electrical   Assist as needed   ,Self-Service,EQU006841,2/27/2023 2:13 PM,2,UVSS_GSS,1/17/2023 10:16:00 AM,Updated
1/16/2023,2:14 PM PST,364033,Student Union Building,1,A131,Repair,Plumbing and Fixtures,Closed - Admin,3- Routine,ADMIN,1/23/2023 9:30 AM,Felicitas Glasswasher    Parent     Plumbing 364024  The glasswasher in Felicitas is not putting out any hot water.  It should start with hot water and finish with cold water. Please put in a work order for someone to look at the hot water valve/line that goes into the glasswasher     Electrical 364031  Assist as needed    ,Self-Service,EQU006841,2/27/2023 2:14 PM,0,UVSS_GSS,1/23/2023 9:30:00 AM,Parent W/O closed following child completion.
1/18/2023,3:20 PM PST,364329,Student Union Building,1,A134E,Repair,Plumbing and Fixtures,Closed,3- Routine,Plumbing,1/19/2023 11:14 AM,URGENT - Please put in a plumbing request to unplug the toilet in Vertigo Men's Washroom.    Thank you.,Self-Service,,03-01-2023 15:20,1,UVSS_GSS,1/19/2023 11:14:00 AM,Updated
1/18/2023,3:37 PM PST,364332,Student Union Building,_General,_General,Repair,Doors / Locks / Keys,Closed,3- Routine,Carpentry,1/26/2023 11:46 AM,Please put in a work order to check the padlock of the garbage cage in the back loading bay of the SUB. The spring is malfunctioning and takes time to unlock.    Thank you.,Self-Service,,03-01-2023 15:37,1,UVSS_GSS,1/26/2023 11:45:00 AM,"Completed, replaced both padlocks"
1/20/2023,11:56 AM PST,364502,Student Union Building,1,A136,Repair,Plumbing and Fixtures,Closed,2 - High,Plumbing,1/23/2023 9:39 AM,URGENT  -  Please put in a work order for the dish washer in the main kitchen. It has a big leak somewhere and it is flooding the floor. Thank you.,Self-Service,,1/24/2023 11:56 AM,1.5,UVSS_GSS,1/23/2023 9:39:00 AM,Work Completed
1/20/2023,1:00 PM PST,364515,Student Union Building,1,A114,Repair,Plumbing and Fixtures,Closed,3- Routine,Plumbing,1/20/2023 2:12 PM,The bathrooms closest to the info booth has a few gross clogged toilets. Please put in a work order to get them checked out. Thank you.,Self-Service,,03-03-2023 13:00,1,UVSS_GSS,1/20/2023 2:12:00 PM,Work Completed
1/20/2023,3:54 PM PST,364539,Student Union Building,1,B101,Repair,Doors / Locks / Keys,Closed,3- Routine,Carpentry,1/26/2023 3:02 PM,Please put in a work order for the squeaky accessible door by Cinecenta entrance.    Thank you.,Self-Service,,03-03-2023 15:54,1,UVSS_GSS,1/24/2023 2:13:00 PM,Work Completed
1/25/2023,1:41 PM PST,364893,Student Union Building,1,A131,Repair,Doors / Locks / Keys,Closed,3- Routine,Carpentry,3/28/2023 1:55 PM,There is a missing screw on the opening mechanism to the exterior patio door closest to ring road.  If carpentry could please look at in the morning.   ,Self-Service,,03-08-2023 13:41,1.75,UVSS_GSS,3/28/2023 1:55:00 PM,"Closing request, initial work has been completed. Unfortunately haven;t had time to get door closer replaced.  If replacement of closer is still wanted/required please submit a new request."
1/27/2023,9:58 AM PST,365066,Student Union Building,1,B142,Repair,Doors / Locks / Keys,Closed,3- Routine,Carpentry,6/14/2023 12:48 PM,Re: FMIS Request # 348962  -  Please put in a work order to have this interior accessible door installed at the current Dental office as explained on the attached outline.    They will need to coordinate the install with the reception at the dental office.    ,Self-Service,,03-10-2023 09:58,9,UVSS_GSS,6/14/2023 12:47:00 PM,Completed
1/27/2023,1:05 PM PST,365091,Student Union Building,1,B142,Repair,Plumbing and Fixtures,Closed,3- Routine,Plumbing,1/30/2023 8:37 AM,Please put in a work order for a sink that is not draining super well.  (The orange bowl style patient one) inside the clinic--- not at the back sterilization area.    Not urgent.  Monday is fine.    ,Self-Service,,03-10-2023 13:05,1,UVSS_GSS,1/30/2023 8:37:00 AM,Updated
1/30/2023,1:24 PM PST,365252,Student Union Building,1,A131,Repair,Equipment,Closed,3- Routine,Mechanical - Refrigeration,02-01-2023 12:38,Please put in a work order for the glass washer in the bar. The hot water is not working. Best time to fix it would be before 11:30am. Thank you.,Self-Service,,3/13/2023 1:24 PM,0.5,UVSS_GSS,02-01-2023 12:38,Updated
02-02-2023,9:26 AM PST,366273,Student Union Building,1,A136,Repair,Plumbing and Fixtures,Closed,1 - Urgent,Plumbing,02-03-2023 12:45,URGENT  -  The pipe from the prep/hand sink has a come away from the wall and need plumbing to look at. Thank you.,Self-Service,,02-03-2023 09:26,1,UVSS_GSS,02-03-2023 12:45,Updated
02-02-2023,9:29 AM PST,366274,Student Union Building,1,B144A,Repair,Equipment,Closed,1 - Urgent,Mechanical - Refrigeration,02-02-2023 14:03,URGENT   -   Please put in an urgent request that the popcorn machine is broken.  We’d like to get someone asap to have a look at it please.    They can contact Lisa at 8364 Room B131. Thank you.  ,Self-Service,,02-03-2023 09:29,1,UVSS_GSS,02-02-2023 14:03,Updated
02-02-2023,9:43 AM PST,366281,Student Union Building,_General,_General,Repair,Grounds Improvements,Closed,3- Routine,Landscape and Turf,02-06-2023 07:02,"Please put a work order into grounds.  Fair bit of paper garbage outside Bean There/Felicitas and build-up of debris by the admin wing entrance.    Thank you,  Dale Robertson  ",Self-Service,,3/16/2023 9:43 AM,2.5,UVSS_GSS,02-06-2023 07:02,work complete
02-02-2023,9:56 AM PST,366283,Student Union Building,1,A131,Repair,Plumbing and Fixtures,Closed,3- Routine,Plumbing,02-03-2023 12:44,"URGENT  -  Please put in an urgent work order for the glass washer in the bar. The hot water is not working. Mechanical has looked at but does not have the capacity to address.    Thank you,  Dale   ",Self-Service,,3/16/2023 9:56 AM,1,UVSS_GSS,02-03-2023 12:44,Updated
02-02-2023,10:58 AM PST,366293,Student Union Building,1,A142,Repair,Plumbing and Fixtures,Closed,3- Routine,Plumbing,02-03-2023 12:43,The work has already been completed as Brad from plumbing happened to be in the building. Submitting a work order to clear a plugged toilet. Thank you.,Self-Service,,3/16/2023 10:58 AM,1,UVSS_GSS,02-03-2023 12:43,Updated
02-02-2023,1:03 PM PST,366309,Student Union Building,1,S5,Repair,Doors / Locks / Keys,Closed,3- Routine,Carpentry,02-03-2023 14:20,Please put in a work order for the lock/handle mechanism on the glass door that leads to upstairs. It is loose and shifting. Thank you.,Self-Service,,3/16/2023 1:03 PM,1,UVSS_GSS,02-03-2023 14:20,Status has been changed to ''Closed''.
02-02-2023,1:06 PM PST,366310,Student Union Building,1,B121,Repair,Doors / Locks / Keys,Closed - Incomplete,3- Routine,Carpentry,2/13/2023 9:57 AM,"One of the locks to the security gate in the Cincenta Box office has broken (a metal ring has fallen out).  The lock is the far right one when you’re inside the Box Office. There's a note on it.      Thank you,  Lisa Sheppard  ",Self-Service,,3/16/2023 1:06 PM,0,UVSS_GSS,,
